stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
3899,3899,"42 ST @ 104 AV SE",,  50.960220,-113.974148,,,0
3900,3900,"Airport Terminal",,  51.132808,-114.011536,,,0
3901,3901,"18 St @ Nleg Quarry Park Bv SE sb fs",,  50.962744,-114.012043,,,0
3902,3902,"114 Ave (WBay) @ 29 St SE",,  50.951757,-113.996486,,,0
3903,3903,"18 St @ 24 St SE wb fs",,  50.957277,-114.007224,,,0
3904,3904,"NLeg Quarry Pk Bv Eof 18 St SE eb",,  50.963309,-114.010939,,,0
3905,3905,"MACLEOD TR & 7 AVE SE",,  51.046079,-114.057936,,,0
3906,3906,"9 Ave @ 6 St SE eb fs",,  51.043830,-114.046877,,,0
3908,3908,"64 AVE & CENTRE ST NORTH EB",,  51.110494,-114.061617,,,0
3910,3910,"18 St @ 24 St SE eb ns",,  50.956236,-114.001338,,,0
3913,3913,"11 St @ 26 Ave SE nb fs",,  51.031228,-114.036567,,,0
3914,3914,"NLeg Quarry Park Bv @ E of 18 St SE eb",,  50.963273,-114.011297,,,0
3915,3915,"SILVERADO RIDGE LI@SILVERADO SKIES DR SW",,  50.888373,-114.086391,,,0
3916,3916,"1 St @ 8 Ave SE sb",,  51.045671,-114.060673,,,0
3917,3917,"9 AVE & 6 ST SE EB FS",,  51.043939,-114.048012,,,0
3919,3919,"SILVERADO RIDGE LI @ SILVERADO BV SW",,  50.886528,-114.085624,,,0
3920,3920,"SILVERADO BLVD @ SILVERADO RANCH WY SW",,  50.885111,-114.087248,,,0
3921,3921,"Promenade Wy @ Eleg of Promenade Pk SE",,  50.913526,-113.962353,,,0
3922,3922,"SILVERADO BLVD@SILVERADO CREST LD SW",,  50.882896,-114.087159,,,0
3923,3923,"18 St @ 24 St SE eb ns",,  50.956249,-114.001836,,,0
3924,3924,"SILVERADO WY@ SILVERADO PLAINS CL SW",,  50.881408,-114.081948,,,0
3926,3926,"WB EVERRDG DR@24 St SW",,  50.910939,-114.117804,,,0
3927,3927,"NB EVERRDG DR@EVERMDW GA SW",,  50.911349,-114.121990,,,0
3928,3928,"NB EVERRDG DR@EVERMDW AV SW",,  50.914359,-114.123327,,,0
3929,3929,"SHERIFF KING ST@SILVERADO WY SW",,  50.881775,-114.070764,,,0
3930,3930,"NB EVERRDG DR@EVERHOLLOW RI SW",,  50.917866,-114.124021,,,0
3932,3932,"EB FISH CREEK BV AV@EVERRDG DR SW",,  50.921209,-114.122435,,,0
3933,3933,"EB FISH CREEK BV@100M WEST OF 24 ST SW",,  50.921214,-114.117881,,,0
3934,3934,"EB FISHCREEK BV@EVERSTONE DR SW",,  50.917506,-114.105090,,,0
3935,3935,"WB EVERRDG DR@EVERSYDE ST SW",,  50.911227,-114.109449,,,0
3936,3936,"NB HAWKWOOD DR@JOHN LAURIE BV NW",,  51.126000,-114.188076,,,0
3937,3937,"EB NEW BRIGHTON GA@52 ST SE",,  50.918144,-113.956958,,,0
3938,3938,"WB NEW BRIGHTON GA@NEW BRIGHTON DR SE",,  50.918489,-113.955384,,,0
3939,3939,"SB NEW BRIGHTON DR@NEW BRIGHTON MR SE",,  50.917136,-113.954206,,,0
3940,3940,"WB FISHCREEK BV@JMS MCKEVITT RD SW",,  50.917782,-114.100989,,,0
3941,3941,"WB NEW BRIGHTON DR@NEW BRIGHTON GD SE",,  50.916225,-113.952373,,,0
3943,3943,"SB FISHCREEK BV@EVERBK DR SW",,  50.917936,-114.110114,,,0
3944,3944,"EB 5 AV@9 ST SW",,  51.048867,-114.082674,,,0
3946,3946,"NB 19 ST@9 AV SE",,  51.035843,-114.019281,,,0
3947,3947,"EB 9 AV@15 ST SE",,  51.037306,-114.024466,,,0
3948,3948,"EB 9 AV@12 ST SE",,  51.041020,-114.033973,,,0
3949,3949,"EB 9 AV@9 ST SE",,  51.042649,-114.038948,,,0
3950,3950,"WB 9 AV@9 ST SE",,  51.043143,-114.040358,,,0
3951,3951,"WB 9 AV@12 ST SE",,  51.041547,-114.034895,,,0
3952,3952,"WB 9 AV@15 ST SE",,  51.037608,-114.024675,,,0
3953,3953,"WB 9 AV@19 ST SE",,  51.035985,-114.020984,,,0
3954,3954,"WB 3 AV@34A ST NW",,  51.059130,-114.139036,,,0
3955,3955,"NB 53 ST@DALHURST GA NW",,  51.113680,-114.155843,,,0
3956,3956,"SB 53 ST@DALHOUSIE DR NW",,  51.113235,-114.156771,,,0
3957,3957,"Canyon Meadows LRT Station (LK FRASER DR nb)",,  50.937105,-114.066873,,,0
3958,3958,"Canyon Meadows LRT Station (LK FRASER DR sb)",,  50.936368,-114.066535,,,0
3959,3959,"Brentwood LRT Station NB",,  51.086833,-114.131285,,,0
3960,3960,"Dalhousie LRT Station sb",,  51.103442,-114.160929,,,0
3961,3961,"SB FAIRMT DR@WILLOW PK DR SE",,  50.958025,-114.059274,,,0
3962,3962,"SB FAIRMT DR@99 AV SE",,  50.961179,-114.058790,,,0
3963,3963,"NB LAKE FRASER DR@S OF LK FRASER GR SE",,  50.945203,-114.068399,,,0
3965,3965,"WB LK BNVISTA DR@LAKE ROSEN CR SE",,  50.947341,-114.063281,,,0
3966,3966,"32 Ave & Collegiate Bv NW",,  51.081601,-114.137263,,,0
3967,3967,"WB EVERSTONE BV@JMS MCKEVITT RD SW",,  50.910939,-114.101087,,,0
3968,3968,"NB COPPERFLD BV@COPPERFLD CL SE",,  50.910169,-113.944716,,,0
3969,3969,"WB COPPERFLD BV@W OF COPPERFLD CR SE",,  50.908289,-113.942335,,,0
3970,3970,"WB COPPERFLD BV@COPPERFLD CR SE",,  50.908790,-113.939841,,,0
3971,3971,"NB COPPERFLD BV@COPPERFLD GV SE",,  50.909174,-113.938691,,,0
3972,3972,"EB COPPERFLD BV@COPPERFLD CR SE",,  50.908158,-113.941091,,,0
3973,3973,"SB COPPERFLD BV@COPPERFLD GD SE",,  50.909355,-113.944897,,,0
3974,3974,"NB BARLOW TR @ AIRPORT RD NE",,  51.135353,-114.000277,,,0
3975,3975,"NB MCKENZ TOWNE LI@52 ST SE",,  50.914551,-113.955783,,,0
3976,3976,"SB MCKENZ TOWNE LI@52 ST SE",,  50.914324,-113.956382,,,0
3978,3978,"EB SUNPARK PZ@WEST OF SUNPARK DR SE",,  50.901805,-114.057813,,,0
3979,3979,"WB SUNPARK PZ@SUNPARK DR SE",,  50.901119,-114.055936,,,0
3980,3980,"NB SUNPARK PZ@SUNPARK DR SE",,  50.902794,-114.057808,,,0
3981,3981,"EB DALHOUSIE DR@DALHAM CR NW",,  51.106221,-114.158316,,,0
3982,3982,"EB DALHOUSIE DR@53 ST NW",,  51.107382,-114.161331,,,0
3983,3983,"WB VRSTY DR@48 ST NW",,  51.093981,-114.158024,,,0
3984,3984,"WB VRSTY DR@SHAGANAPPI TR NW",,  51.093611,-114.155761,,,0
3985,3985,"WB VRSTY DR@VISCOUNT DR NW",,  51.093029,-114.152569,,,0
3986,3986,"WB VRSTY DR@41 ST NW",,  51.092477,-114.149461,,,0
3987,3987,"WB VRSTY DR@VANCOUVER CR NW",,  51.090439,-114.144116,,,0
3988,3988,"WB VRSTY DR@37 ST NW",,  51.089148,-114.141710,,,0
3989,3989,"SB 37 ST@VRSTY DR NW",,  51.088387,-114.141457,,,0
3990,3990,"EB VRSTY DR@VANCOUVER CR NW",,  51.089986,-114.143587,,,0
3991,3991,"EB VRSTY DR@41 ST NW",,  51.092105,-114.148227,,,0
3992,3992,"EB VRSTY DR@VISCOUNT DR NW",,  51.092730,-114.151730,,,0
3993,3993,"NB CRESTMONT DR@CRESTMONT WY SW",,  51.084138,-114.263033,,,0
